City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
Ongandjera,-17.8833,15.0667,54.9,clear sky,27,2,9.86,NA,1626404820
Mazagao,-0.115,-51.2894,77.05,overcast clouds,97,88,4.18,BR,1626404822
Jalu,29.0331,21.5482,78.69,clear sky,56,2,9.89,LY,1626404823
Baghdad,33.3406,44.4009,82.31,smoke,36,0,6.91,IQ,1626404824
Bubaque,11.2833,-15.8333,79.59,light rain,83,100,11.16,GW,1626404825
Vardo,70.3705,31.1107,53.8,overcast clouds,83,100,19.64,NO,1626404827
Mangrol,21.1167,70.1167,83.82,broken clouds,79,70,2.68,IN,1626404828
Khandagayty,50.7333,92.05,73.72,scattered clouds,45,32,3.8,RU,1626404829
Geraldton,-28.7667,114.6,62.13,overcast clouds,77,90,9.22,AU,1626404831
Bandarbeyla,9.4942,50.8122,81.14,overcast clouds,61,100,29.57,SO,1626404832
Gamba,-2.65,10.0,69.98,broken clouds,82,84,5.26,GA,1626404833
Boyuibe,-20.4167,-63.2833,56.84,overcast clouds,70,100,3.67,BO,1626404835
Ponta Do Sol,32.6667,-17.1,71.01,clear sky,79,2,2.95,PT,1626404836
Mecca,21.4267,39.8261,84.31,clear sky,24,7,3.38,SA,1626404837
Ormara,25.2088,64.6357,85.3,overcast clouds,84,92,9.86,PK,1626404839
Ochamchira,42.7121,41.4721,70.83,clear sky,78,0,3.02,GE,1626404840
Havoysund,70.9963,24.6622,54.48,broken clouds,77,74,11.63,NO,1626404841
Cap Malheureux,-19.9842,57.6142,69.48,light rain,79,37,8.01,MU,1626404842
Saint-Augustin,51.226,-58.6502,59.38,overcast clouds,96,99,13.27,CA,1626404844
Sterling,39.0062,-77.4286,84.25,scattered clouds,77,40,3.0,US,1626404781
Babushkin,51.7122,105.8647,65.71,overcast clouds,80,99,2.75,RU,1626404846
Christchurch,-43.5333,172.6333,63.32,broken clouds,53,75,1.99,NZ,1626404847
Pokaran,26.9167,71.9167,94.24,scattered clouds,49,44,9.01,IN,1626404849
Peniche,39.3558,-9.3811,76.48,clear sky,81,0,2.37,PT,1626404850
Champerico,14.3,-91.9167,81.72,broken clouds,76,52,4.34,GT,1626404851
Machiques,10.0644,-72.545,78.12,overcast clouds,78,100,8.23,VE,1626404853
Hamilton,39.1834,-84.5333,76.12,clear sky,87,1,6.91,US,1626404717
Bilma,18.6853,12.9164,91.18,scattered clouds,15,49,18.52,NE,1626404855
Terrace,54.5163,-128.6035,59.43,overcast clouds,67,99,2.51,CA,1626404856
Tevriz,57.509,72.4042,50.4,overcast clouds,96,100,3.4,RU,1626404858
Springfield,37.2153,-93.2982,75.97,overcast clouds,85,90,5.01,US,1626404859
Belo Oriente,-19.22,-42.4836,63.57,clear sky,75,0,2.95,BR,1626404860
Tevaitoa,-16.7833,-151.5,79.66,light rain,76,25,18.32,PF,1626404861
Nhulunbuy,-12.2333,136.7667,86.61,broken clouds,58,75,17.27,AU,1626404863
Nerchinskiy Zavod,51.3088,119.61,75.67,clear sky,60,1,7.52,RU,1626404864
Bajil,15.0584,43.2851,85.82,overcast clouds,55,100,4.43,YE,1626404865
Warrington,53.3925,-2.5802,61.48,clear sky,92,0,2.95,GB,1626404627
Itupiranga,-5.1347,-49.3267,75.83,scattered clouds,58,36,0.89,BR,1626404868
Pochutla,15.7432,-96.4661,74.8,overcast clouds,90,100,3.71,MX,1626404869
Marystown,47.1666,-55.1483,54.59,broken clouds,93,79,6.78,CA,1626404870
Great Bend,38.3645,-98.7648,77.97,clear sky,87,1,1.01,US,1626404872
Chuy,-33.6971,-53.4616,47.17,clear sky,94,0,5.41,UY,1626404873
Verkh-Usugli,52.7,115.1667,76.55,clear sky,44,0,4.68,RU,1626404874
Karratha,-20.7377,116.8463,72.68,clear sky,28,6,21.39,AU,1626404875
Avera,33.194,-82.5271,78.67,scattered clouds,68,46,5.99,US,1626404877
Puro,12.4841,123.3827,82.06,moderate rain,82,100,15.5,PH,1626404878
Port Said,31.2565,32.2841,80.83,clear sky,80,0,12.66,EG,1626404879
Bardsir,29.9227,56.5743,79.57,scattered clouds,33,44,3.49,IR,1626404881
Paamiut,61.994,-49.6678,42.33,overcast clouds,93,100,6.91,GL,1626404592
Maturin,9.75,-63.1767,74.21,broken clouds,96,84,5.37,VE,1626404883
Pacific Grove,36.6177,-121.9166,69.15,overcast clouds,88,90,5.01,US,1626404884
Coquimbo,-29.9533,-71.3436,47.93,clear sky,93,0,5.75,CL,1626404886
El Tigre,8.8875,-64.2454,75.74,broken clouds,80,73,9.1,VE,1626404887
Springbok,-29.6643,17.8865,41.45,clear sky,23,0,9.13,ZA,1626404888
Kazanskoye,55.6448,69.235,51.58,overcast clouds,98,100,10.92,RU,1626404890
Sao Jose Da Coroa Grande,-8.8978,-35.1478,74.1,scattered clouds,90,38,9.15,BR,1626404891
San Cristobal,7.7669,-72.225,75.38,broken clouds,97,66,3.06,VE,1626404892
Portland,45.5234,-122.6762,77.72,clear sky,51,1,3.0,US,1626404669
Minab,27.1467,57.0801,90.9,overcast clouds,48,100,7.09,IR,1626404895
Sitka,57.0531,-135.33,57.09,light rain,88,90,0.0,US,1626404896
Lompoc,34.6391,-120.4579,68.14,overcast clouds,82,90,9.22,US,1626404897
Marsala,37.7966,12.4352,71.92,few clouds,66,21,10.04,IT,1626404899
Kang,-23.6752,22.7876,46.09,scattered clouds,89,41,7.43,BW,1626404900
Clyde River,70.4692,-68.5914,47.25,overcast clouds,65,100,10.94,CA,1626404901
Lodja,-3.4833,23.4333,70.0,overcast clouds,41,88,2.3,CD,1626404903
Havre-Saint-Pierre,50.2334,-63.5986,58.35,overcast clouds,96,98,0.58,CA,1626404904
Diyarb Najm,30.7542,31.4393,78.58,clear sky,89,0,5.99,EG,1626404905
Kamaishi,39.2667,141.8833,79.92,few clouds,76,23,6.51,JP,1626404906
Kavaratti,10.5669,72.642,82.78,overcast clouds,81,100,21.94,IN,1626404908
Dzaoudzi,-12.7887,45.2699,76.89,few clouds,69,20,18.41,YT,1626404665
Santa Cruz,-17.8,-63.1667,58.46,overcast clouds,100,90,16.11,BO,1626404748
Taft,31.7471,54.2088,78.19,clear sky,39,3,7.78,IR,1626404911
Pangkalanbuun,-2.6833,111.6167,84.51,light rain,63,94,5.46,ID,1626404912
Terre Haute,39.4667,-87.4139,73.22,broken clouds,93,75,4.61,US,1626404914
Comodoro Rivadavia,-45.8667,-67.5,47.53,clear sky,49,0,28.36,AR,1626404916
Saint-Pierre,-21.3393,55.4781,67.64,light rain,69,40,5.75,RE,1626404917
Namatanai,-3.6667,152.4333,85.64,overcast clouds,70,93,10.96,PG,1626404919
Guerrero Negro,27.9769,-114.0611,69.46,clear sky,82,1,17.69,MX,1626404920
Kafanchan,9.5833,8.3,68.68,overcast clouds,99,100,2.08,NG,1626404922
Powell River,49.8496,-124.5361,68.32,few clouds,71,24,6.2,CA,1626404923
Bara,10.3744,10.7288,73.02,overcast clouds,91,100,8.52,NG,1626404924
Talcahuano,-36.7167,-73.1167,44.28,overcast clouds,93,100,0.0,CL,1626404926
Umea,63.8284,20.2597,54.91,broken clouds,87,54,3.44,SE,1626404927
Sesheke,-17.4759,24.2968,54.1,scattered clouds,86,25,5.1,ZM,1626404928
Ternate,0.8,127.4,83.07,broken clouds,73,73,4.61,ID,1626404929
Wewak,-3.5534,143.6268,86.34,light rain,69,100,3.65,PG,1626404931
Sao Filipe,14.8961,-24.4956,73.58,clear sky,83,7,7.47,CV,1626404932
Yelizovo,53.1873,158.3805,80.74,broken clouds,39,75,8.95,RU,1626404933
Puerto Escondido,15.85,-97.0667,79.93,overcast clouds,81,100,3.31,MX,1626404935
Jiayuguan,39.8167,98.3,80.47,clear sky,29,0,4.85,CN,1626404699
Alice Springs,-23.7,133.8833,60.35,broken clouds,25,59,14.97,AU,1626404937
Acucena,-19.0731,-42.5464,61.45,clear sky,76,0,2.93,BR,1626404938
Aitape,-3.1374,142.3475,84.69,overcast clouds,71,99,4.99,PG,1626404940
Alihe,50.5667,123.7167,85.39,clear sky,38,0,9.82,CN,1626404707
Acapulco,16.8634,-99.8901,78.3,overcast clouds,87,96,2.95,MX,1626404942
Kirakira,-10.4544,161.9205,84.87,scattered clouds,71,40,13.73,SB,1626404943
Izhmorskiy,56.194,86.6414,60.94,clear sky,62,7,13.62,RU,1626404945
Codrington,-38.2667,141.9667,55.29,overcast clouds,78,100,16.26,AU,1626404946
Deep River,46.1001,-77.4995,71.35,overcast clouds,98,100,6.49,CA,1626404757
Tual,-5.6667,132.75,80.82,overcast clouds,81,99,16.11,ID,1626404948
Barra Do Garcas,-15.89,-52.2567,67.05,clear sky,42,3,0.87,BR,1626404950
Hobyo,5.3505,48.5268,76.78,overcast clouds,78,99,26.35,SO,1626404951
Tuatapere,-46.1333,167.6833,55.81,clear sky,82,10,4.5,NZ,1626404952
Bayir,37.2687,28.2167,70.63,clear sky,34,0,3.49,TR,1626404954
Vila Franca Do Campo,37.7167,-25.4333,66.61,overcast clouds,76,91,2.95,PT,1626404955
Matagami,49.7502,-77.6328,50.52,overcast clouds,95,100,1.45,CA,1626404956
Pevek,69.7008,170.3133,34.21,light rain,95,100,11.45,RU,1626404957
Buarcos,40.166,-8.8768,69.57,clear sky,74,2,2.66,PT,1626404959
Mount Isa,-20.7333,139.5,76.77,clear sky,20,2,17.27,AU,1626404960
Umm Kaddadah,13.6017,26.6876,83.14,broken clouds,54,60,13.35,SD,1626404962
General Roca,-39.0333,-67.5833,41.4,overcast clouds,43,100,2.8,AR,1626404963
Abha,18.2164,42.5053,62.85,clear sky,59,0,0.0,SA,1626404964
Constitucion,-35.3333,-72.4167,49.64,broken clouds,80,71,6.93,CL,1626404965
Orsha,54.5153,30.4053,68.85,scattered clouds,84,31,4.92,BY,1626404825
Trinidad,-14.8333,-64.9,76.24,broken clouds,61,51,7.85,BO,1626404968
Tiznit,29.5833,-9.5,77.11,clear sky,33,3,1.66,MA,1626404969
Saint-Jean-De-Maurienne,45.1667,6.5833,40.24,overcast clouds,98,100,6.35,FR,1626404970
Margate,51.3813,1.3862,58.69,broken clouds,75,57,5.01,GB,1626404712
Gizo,-8.103,156.8419,84.42,broken clouds,75,66,12.82,SB,1626404973
Rincon,32.296,-81.2354,81.86,broken clouds,87,75,5.75,US,1626404974
Emet,39.343,29.2585,63.27,clear sky,70,0,3.78,TR,1626404975
Tura,25.5198,90.2201,80.44,broken clouds,88,74,3.83,IN,1626404977
San Gabriel,34.0961,-118.1058,88.34,clear sky,65,1,1.01,US,1626404978
Porto Novo,6.4965,2.6036,75.43,overcast clouds,89,100,7.74,BJ,1626404979
Mayo,38.8876,-76.5119,85.12,scattered clouds,86,40,4.61,US,1626404943
Mizan Teferi,6.9833,35.5833,59.63,overcast clouds,92,100,3.13,ET,1626404982
Hazorasp,41.3194,61.0742,75.04,clear sky,20,0,5.73,UZ,1626404983
Olinda,-8.0089,-34.8553,71.33,broken clouds,88,75,3.44,BR,1626404983
Lasa,46.6166,10.7002,52.63,overcast clouds,93,100,4.0,IT,1626404985
Udimskiy,61.1417,45.9144,60.93,scattered clouds,96,31,6.2,RU,1626404987
Lamu,-2.2717,40.902,75.42,light rain,79,94,15.68,KE,1626404988
Rawlins,41.7911,-107.2387,71.82,clear sky,30,1,14.97,US,1626404720
Pouebo,-20.4,164.5667,79.54,overcast clouds,65,88,6.22,NC,1626404990
Neka,36.6508,53.299,75.36,overcast clouds,80,100,3.67,IR,1626404992
Yumen,40.2833,97.2,80.24,clear sky,32,0,8.99,CN,1626404993
Sorland,67.667,12.6934,52.56,overcast clouds,86,100,31.65,NO,1626404994
Misratah,32.3754,15.0925,78.12,clear sky,78,0,6.85,LY,1626404995
Cascais,38.6979,-9.4215,76.35,clear sky,73,0,1.99,PT,1626404997
Mildura,-34.2,142.15,57.07,broken clouds,68,72,29.24,AU,1626404998
Aldan,58.6031,125.3894,56.14,light rain,96,100,2.91,RU,1626404999
Pavlogradka,54.2024,73.5592,52.29,overcast clouds,76,92,12.26,RU,1626405001
Udachnyy,66.4167,112.4,68.43,broken clouds,34,70,14.52,RU,1626405002
Dimitrovgrad,54.2139,49.6184,70.41,clear sky,78,7,3.31,RU,1626405005
Mahibadhoo,3.7833,72.9667,83.05,overcast clouds,74,100,8.81,MV,1626405006
Hailar,49.2,119.7,80.29,broken clouds,50,59,8.3,CN,1626405007
Zhigalovo,54.8097,105.1578,82.06,clear sky,43,4,1.99,RU,1626405009
Shanghai,31.2222,121.4581,87.87,few clouds,71,20,13.42,CN,1626404910
Smithers,54.7804,-127.1743,65.21,overcast clouds,57,99,3.89,CA,1626405011
Sao Gabriel Da Cachoeira,-0.1303,-67.0892,72.21,broken clouds,98,83,0.6,BR,1626405012
Port Lincoln,-34.7333,135.8667,56.37,light rain,78,15,31.36,AU,1626405013
Sanghar,26.0466,68.9481,87.87,overcast clouds,60,100,5.68,PK,1626404895
Sao Miguel Do Araguaia,-13.275,-50.1628,72.37,clear sky,39,5,3.78,BR,1626405016
Studenka,49.7234,18.0785,67.05,clear sky,97,0,5.99,CZ,1626405017
Piranhas,-16.4269,-51.8222,67.64,clear sky,40,3,2.93,BR,1626405019
Townsville,-19.25,146.8,81.48,few clouds,61,20,11.5,AU,1626405020
Guarapari,-20.6667,-40.4975,73.29,clear sky,80,0,8.63,BR,1626405021
Uige,-7.6087,15.0613,60.85,few clouds,81,20,1.95,AO,1626404839
Pasni,25.2631,63.471,84.51,light rain,83,100,10.85,PK,1626405024
Santa Fe,-31.6333,-60.7,50.02,clear sky,80,0,1.99,AR,1626404829
Punta Alta,-38.8759,-62.0736,46.69,overcast clouds,51,92,10.29,AR,1626405026
Tala,30.6803,30.9429,72.57,clear sky,91,0,6.04,EG,1626405027
Blagoyevo,63.3667,47.9167,58.71,overcast clouds,83,90,6.91,RU,1626405029
Staryy Nadym,65.6118,72.6842,56.08,overcast clouds,55,100,11.36,RU,1626405030
Puerto Colombia,10.9878,-74.9547,80.69,overcast clouds,86,91,22.91,CO,1626405031
Shestakovo,56.4915,103.96,84.04,scattered clouds,36,36,3.42,RU,1626405033
College,64.8569,-147.8028,80.01,broken clouds,32,75,11.5,US,1626405000
Plettenberg Bay,-34.0527,23.3716,52.93,clear sky,43,0,4.59,ZA,1626405035
Erenhot,43.6475,111.9767,89.76,overcast clouds,30,87,15.68,CN,1626405036
Atambua,-9.1061,124.8925,84.49,broken clouds,45,64,0.25,ID,1626405015
Izmir,38.4622,27.0923,80.11,clear sky,68,0,0.0,TR,1626405039
Manjacaze,-24.7117,33.8828,55.18,clear sky,76,0,3.89,MZ,1626405040
Sinnamary,5.3833,-52.95,76.03,scattered clouds,88,44,6.11,GF,1626405041
Cacak,43.8914,20.3497,73.9,clear sky,94,6,2.59,RS,1626405043
Takoradi,4.8845,-1.7554,74.64,light rain,92,95,7.09,GH,1626405044
Nyurba,63.2842,118.3319,70.18,few clouds,34,15,4.34,RU,1626405045
Yelan-Kolenovskiy,51.1632,41.151,69.4,light rain,77,100,6.64,RU,1626405047
Juelsminde,55.7088,10.0167,60.91,clear sky,81,0,5.88,DK,1626405048
Vung Tau,10.346,107.0843,79.12,overcast clouds,83,100,9.37,VN,1626404966
Palauig,15.435,119.9045,85.33,scattered clouds,72,42,6.51,PH,1626405050
Bac Lieu,9.285,105.7244,82.22,overcast clouds,73,100,3.51,VN,1626405052
Caravelas,-17.7125,-39.2481,68.54,clear sky,94,0,4.18,BR,1626404854
Labuan,5.2767,115.2417,86.16,overcast clouds,65,97,5.32,MY,1626405054
Barcelos,41.5388,-8.6151,73.85,clear sky,40,6,7.02,PT,1626405055
Marabba,12.35,32.1833,77.16,overcast clouds,73,100,10.63,SD,1626405057
Sao Joao Da Barra,-21.6403,-41.0511,70.65,scattered clouds,91,47,10.98,BR,1626405058
San Pedro Del Pinatar,37.8357,-0.791,72.36,clear sky,75,8,3.0,ES,1626405059
Daru,-9.0763,143.2092,81.55,overcast clouds,83,100,10.63,PG,1626405060
Black River,18.0264,-77.8487,75.97,clear sky,82,9,5.21,JM,1626405062
Garissa,-0.4536,39.6401,71.47,few clouds,80,21,14.67,KE,1626405063
Laguna,38.421,-121.4238,91.24,clear sky,47,1,5.01,US,1626405064
Pandan,14.0453,124.1694,86.07,overcast clouds,67,98,4.43,PH,1626405066
Puerto Penasco,31.3167,-113.5333,85.91,clear sky,78,7,5.01,MX,1626404839
Filingue,14.3521,3.3168,83.59,overcast clouds,50,100,16.24,NE,1626405068
Okha,53.5739,142.9478,73.76,overcast clouds,75,100,12.64,RU,1626405069
Balakhninskiy,58.0106,114.2769,75.52,overcast clouds,62,98,2.82,RU,1626405071
Platteville,42.7342,-90.4785,68.61,clear sky,100,1,0.0,US,1626405072
Antsohihy,-14.8796,47.9875,68.79,scattered clouds,62,27,9.31,MG,1626405073
Sarangani,5.4033,125.4636,81.21,overcast clouds,79,100,14.05,PH,1626405074
Emerald,-23.5333,148.1667,86.14,scattered clouds,45,40,19.57,AU,1626405076
Galesong,-5.3166,119.3661,82.42,overcast clouds,72,100,1.52,ID,1626405077
Castries,13.9957,-61.0061,80.67,broken clouds,78,77,15.19,LC,1626405078
Buala,-8.145,159.5921,86.0,few clouds,66,17,10.69,SB,1626405080
Matiri,-10.75,34.9,52.45,scattered clouds,83,37,4.59,TZ,1626405081
Bontang,0.1333,117.5,73.02,moderate rain,94,100,6.24,ID,1626405082
Alta Floresta,-9.8756,-56.0861,71.26,clear sky,45,0,3.47,BR,1626405083
Black Forest,39.0131,-104.7008,69.76,clear sky,67,1,1.01,US,1626405085
Kawalu,-7.3817,108.2082,78.04,scattered clouds,67,49,5.55,ID,1626405086
Orbottyan,47.6871,19.2824,68.0,scattered clouds,60,49,3.22,HU,1626405087
Chimbote,-9.0853,-78.5783,63.32,clear sky,86,9,9.28,PE,1626405089
Lukow,51.929,22.3796,68.5,overcast clouds,97,99,10.47,PL,1626405090
Nadym,65.5333,72.5167,55.15,overcast clouds,57,100,11.18,RU,1626405091
San Policarpo,12.1791,125.5072,86.83,moderate rain,68,100,7.81,PH,1626405093
Beringovskiy,63.05,179.3167,53.92,clear sky,73,0,17.65,RU,1626405094
Hays,30.0502,-98.0336,83.28,broken clouds,78,63,7.0,US,1626405095
Funadhoo,6.15,73.2667,83.05,overcast clouds,77,100,12.03,MV,1626405096
Atar,20.5169,-13.0499,80.35,clear sky,58,0,9.73,MR,1626405098
Warrnambool,-38.3833,142.4833,56.8,overcast clouds,80,97,16.24,AU,1626404991
Bielsk Podlaski,52.7651,23.1865,67.24,overcast clouds,95,88,6.71,PL,1626405100
Kingston,17.997,-76.7936,80.2,clear sky,92,8,1.01,JM,1626404861
Razdolinsk,58.4211,94.6658,72.91,scattered clouds,59,50,5.01,RU,1626405103
Santa Vitoria,-18.8386,-50.1214,69.46,clear sky,38,1,4.56,BR,1626405104
Richards Bay,-28.783,32.0377,54.48,clear sky,85,2,5.57,ZA,1626405105
Epe,6.5841,3.9834,74.28,light rain,96,100,3.76,NG,1626405106
Nuuk,64.1835,-51.7216,50.61,scattered clouds,81,34,1.14,GL,1626405108
Bandundu,-3.3167,17.3667,71.31,overcast clouds,51,98,4.32,CD,1626405109
Purranque,-40.9167,-73.1667,43.93,scattered clouds,98,39,1.9,CL,1626404900
Lazaro Cardenas,17.9583,-102.2,80.4,overcast clouds,84,100,2.01,MX,1626405111
Fort Nelson,58.8053,-122.7002,53.65,broken clouds,51,84,8.1,CA,1626405113
Zhezkazgan,47.8043,67.7144,71.38,broken clouds,23,71,11.07,KZ,1626405114
Rodrigues Alves,-7.738,-72.6509,72.84,clear sky,86,0,2.75,BR,1626405115
Nelson Bay,-32.7167,152.15,67.75,clear sky,65,3,3.0,AU,1626405117
Shizilu,35.1711,118.8289,77.54,heavy intensity rain,96,100,12.48,CN,1626405118
Tolaga Bay,-38.3667,178.3,59.25,scattered clouds,66,44,11.99,NZ,1626405119
Evensk,61.95,159.2333,62.47,scattered clouds,80,50,8.84,RU,1626405120
Safaga,26.7292,33.9365,86.32,clear sky,38,7,3.0,EG,1626405122
Marfino,55.7028,37.3822,69.87,clear sky,100,0,4.47,RU,1626405123
San Patricio,28.017,-97.5169,84.09,overcast clouds,80,93,14.38,US,1626405124
Kattivakkam,13.2167,80.3167,86.09,overcast clouds,78,100,9.66,IN,1626405126
Novikovo,51.1537,37.8879,68.18,light rain,90,81,3.0,RU,1626405127
Rockport,28.0206,-97.0544,85.01,few clouds,81,20,3.0,US,1626404856
